"Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP"
"83,Darren Collison\collida01,PG,29,SAC,51,1576,15.4,.577,.275,.220,1.4,6.7,4.1,23.1,1.8,0.4,12.1,19.7,,2.6,0.7,3.2,.099,,1.1,-2.3,-1.2,0.3"
"84,Nick Collison\collini01,PF,36,OKC,14,81,9.6,.612,.000,.700,5.5,13.5,9.5,13.4,0.6,1.0,18.7,8.4,,0.1,0.1,0.2,.102,,-3.3,-0.5,-3.8,0.0"
"85,Mike Conley\conlemi01,PG,29,MEM,47,1535,21.9,.583,.402,.351,1.9,10.8,6.2,34.6,2.1,0.9,12.1,25.9,,4.3,1.8,6.1,.190,,5.4,-0.4,5.0,2.7"
"86,Pat Connaughton\connapa01,SG,24,POR,27,195,11.6,.605,.410,.231,5.0,12.6,8.8,10.8,1.0,0.8,12.3,11.0,,0.3,0.1,0.4,.094,,-0.9,-1.4,-2.3,0.0"
"87,DeMarcus Cousins\couside01,C,26,TOT,57,1958,26.7,.562,.242,.490,7.2,29.2,18.2,27.9,2.1,3.7,13.4,37.1,,3.8,3.0,6.7,.165,,4.5,2.8,7.3,4.6"
"87,DeMarcus Cousins\couside01,C,26,SAC,55,1891,26.6,.562,.239,.491,7.1,29.0,18.0,27.9,2.0,3.6,13.2,37.5,,3.7,2.7,6.4,.163,,4.5,2.6,7.1,4.3"
"87,DeMarcus Cousins\couside01,C-F,26,NOP,2,67,29.4,.596,.333,.481,10.9,34.9,22.8,28.1,5.8,4.9,19.6,26.9,,0.1,0.2,0.3,.231,,3.5,8.2,11.8,0.2"
"88,Robert Covington\covinro01,SF,26,PHI,52,1632,12.7,.522,.580,.219,5.0,17.2,11.1,8.1,3.1,2.3,14.2,18.8,,-0.3,2.5,2.3,.067,,-0.7,2.3,1.6,1.5"
"89,Allen Crabbe\crabbal01,SG,24,POR,57,1619,10.5,.591,.441,.211,0.9,9.7,5.2,6.4,1.0,0.5,9.3,14.8,,1.8,0.4,2.2,.065,,-0.3,-1.8,-2.1,0.0"
"90,Jamal Crawford\crawfja01,SG,36,LAC,58,1557,11.4,.509,.363,.219,1.0,5.8,3.4,16.5,1.3,0.7,12.7,22.9,,-0.1,1.0,0.9,.028,,-1.4,-2.1,-3.5,-0.6"
"91,Jae Crowder\crowdja01,SF,26,BOS,48,1558,15.4,.624,.563,.256,2.2,15.8,9.0,9.8,1.6,0.8,8.1,16.7,,3.2,1.4,4.6,.141,,2.1,-0.2,1.9,1.5"
"92,Dante Cunningham\cunnida01,SF,29,NOP,44,1099,8.8,.540,.512,.058,3.4,14.2,8.8,3.9,1.0,1.6,7.5,10.8,,0.5,1.0,1.5,.064,,-2.2,0.7,-1.5,0.1"
"93,Seth Curry\curryse01,PG,26,DAL,54,1542,15.1,.588,.451,.122,1.6,9.5,5.3,16.6,2.2,0.3,11.4,19.2,,2.0,1.4,3.4,.106,,1.4,-0.1,1.3,1.3"
"94,Stephen Curry\curryst01,PG,28,GSW,57,1905,24.2,.632,.551,.260,2.1,11.5,7.1,28.9,2.5,0.5,12.8,29.1,,6.3,2.7,9.0,.227,,7.3,-0.6,6.7,4.2"
"95,Troy Daniels\danietr01,SG,25,MEM,44,757,12.4,.550,.700,.141,1.9,6.8,4.3,6.9,1.2,0.3,7.2,22.4,,0.7,0.6,1.3,.084,,1.3,-3.3,-2.0,0.0"
"96,Anthony Davis\davisan02,C,23,NOP,55,1999,27.2,.575,.081,.430,6.6,28.2,17.3,11.5,1.7,5.6,9.7,32.8,,3.8,3.8,7.7,.184,,1.0,2.5,3.5,2.8"
